Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT5G18720	AT5G18720.1	""	NA	DNAJ heat shock amino-terminal domain protein, putative (DUF3444)
AT5G18730	AT5G18730.1	""	NA	DNAJ heat shock amino-terminal domain protein
AT5G18740	AT5G18740.1	""	NA	hypothetical protein (DUF3444)
AT5G18748	AT5G18748.1	""	NA	hypothetical protein
AT5G18750	AT5G18750.1	""	NA	DNAJ heat shock N-terminal domain-containing protein
AT5G18760	AT5G18760.1	""	1	RING/U-box superfamily protein
AT5G18770	AT5G18770.1	""	NA	F-box/FBD-like domains containing protein
AT5G18780	AT5G18780.1	""	1	F-box/RNI-like superfamily protein
AT5G18790	AT5G18790.1	""	NA	Ribosomal protein L33 family protein
AT5G18800	AT5G18800.1	""	0.081684	Cox19-like CHCH family protein
AT5G18810	AT5G18810.1	At-SCL28	NA	SC35-like splicing factor 28
AT5G18820	AT5G18820.1	Cpn60alpha2	0.095125	TCP-1/cpn60 chaperonin family protein
AT5G18830	AT5G18830.3	ATSPL7	0.401344	squamosa promoter binding protein-like 7
AT5G18840	AT5G18840.1	""	NA	Major facilitator superfamily protein
AT5G18850	AT5G18850.1	""	1	Low-density receptor-like protein
AT5G18860	AT5G18860.1	NSH3	0.615551	inosine-uridine preferring nucleoside hydrolase family protein
AT5G18870	AT5G18870.1	NSH5	NA	Inosine-uridine preferring nucleoside hydrolase family protein
AT5G18880	AT5G18880.1	""	NA	RNA-directed DNA polymerase (reverse transcriptase)-related family protein
AT5G18890	AT5G18890.1	NSH4	NA	Inosine-uridine preferring nucleoside hydrolase family protein
AT5G18900	AT5G18900.1	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G18910	AT5G18910.1	""	NA	Protein kinase superfamily protein
AT5G18920	AT5G18920.1	""	0.878109	Cox19-like CHCH family protein
AT5G18930	AT5G18930.1	BUD2	NA	Adenosylmethionine decarboxylase family protein
AT5G18940	AT5G18940.1	""	0.001928	Mo25 family protein
AT5G18950	AT5G18950.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G18960	AT5G18960.1	FRS12	NA	FAR1-related sequence 12
AT5G18970	AT5G18970.1	""	NA	AWPM-19-like family protein
AT5G18980	AT5G18980.1	""	1	ARM repeat superfamily protein
AT5G18990	AT5G18990.1	""	NA	Pectin lyase-like superfamily protein
AT5G19000	AT5G19000.2	ATBPM1	0.087688	BTB-POZ and MATH domain 1
AT5G19010	AT5G19010.1	MPK16	1	mitogen-activated protein kinase 16
AT5G19020	AT5G19020.1	MEF18	NA	mitochondrial editing factor 18
AT5G19025	AT5G19025.1	""	1	Ribosomal protein L34e superfamily protein
AT5G19030	AT5G19030.1	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G19040	AT5G19040.1	ATIPT5	NA	isopentenyltransferase 5
AT5G19050	AT5G19050.1	""	1	alpha/beta-Hydrolases superfamily protein
AT5G19060	AT5G19060.1	""	NA	cytochrome P450 family protein
AT5G19070	AT5G19070.1	""	0.267758	SNARE associated Golgi protein family
AT5G19080	AT5G19080.1	AtVBP1	NA	RING/U-box superfamily protein
AT5G19090	AT5G19090.1	""	1	Heavy metal transport/detoxification superfamily protein
AT5G19100	AT5G19100.1	""	NA	Eukaryotic aspartyl protease family protein
AT5G19110	AT5G19110.1	""	NA	Eukaryotic aspartyl protease family protein
AT5G19120	AT5G19120.1	""	NA	Eukaryotic aspartyl protease family protein
AT5G19130	AT5G19130.1	""	1	GPI transamidase component family protein / Gaa1-like family protein
AT5G19140	AT5G19140.1	AILP1	1	aluminum induced protein with YGL and LRDR motifs
AT5G19150	AT5G19150.1	""	0.19805	pfkB-like carbohydrate kinase family protein
AT5G19151	AT5G19151.1	""	NA	hypothetical protein
AT5G19160	AT5G19160.1	TBL11	NA	TRICHOME BIREFRINGENCE-LIKE 11
AT5G19170	AT5G19170.1	""	1	NEP-interacting protein, putative (DUF239)
AT5G19172	AT5G19172.1	""	NA	Cysteine-rich protein
AT5G19175	AT5G19175.1	""	NA	Cysteine-rich protein
AT5G19180	AT5G19180.1	ECR1	1	E1 C-terminal related 1
AT5G19190	AT5G19190.1	""	NA	hypothetical protein
AT5G19200	AT5G19200.1	TSC10B	1	NAD(P)-binding Rossmann-fold superfamily protein
AT5G19210	AT5G19210.2	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G19220	AT5G19220.1	ADG2	1	ADP glucose pyrophosphorylase large subunit 1
AT5G19230	AT5G19230.1	""	NA	Glycoprotein membrane precursor GPI-anchored
AT5G19240	AT5G19240.1	""	1	Glycoprotein membrane precursor GPI-anchored
AT5G19250	AT5G19250.1	""	1	Glycoprotein membrane precursor GPI-anchored
AT5G19260	AT5G19260.1	FAF3	NA	FANTASTIC four-like protein (DUF3049)
AT5G19270	AT5G19270.1	""	NA	reverse transcriptase-like protein
AT5G19280	AT5G19280.2	KAPP	0.060471	kinase associated protein phosphatase
AT5G19290	AT5G19290.1	MAGL16	NA	alpha/beta-Hydrolases superfamily protein
AT5G19300	AT5G19300.1	""	1	methyltransferase C9orf114 protein
AT5G19310	AT5G19310.1	AtCHR23	0.804449	homeotic protein regulator
AT5G19315	AT5G19315.1	""	NA	Defensin-like (DEFL) family protein
AT5G19320	AT5G19320.1	RANGAP2	NA	RAN GTPase activating protein 2
AT5G19330	AT5G19330.1	ARIA	0.450756	ARM repeat protein interacting with ABF2
AT5G19340	AT5G19340.1	""	NA	hypothetical protein
AT5G19350	AT5G19350.1	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G19360	AT5G19360.1	AtCPK34	NA	calcium-dependent protein kinase 34
AT5G19370	AT5G19370.1	""	7.7e-05	rhodanese-like domain-containing protein / PPIC-type PPIASE domain-containing protein
AT5G19380	AT5G19380.2	CLT1	1	CRT (chloroquine-resistance transporter)-like transporter 1
AT5G19390	AT5G19390.1	PHGAP2	1	Rho GTPase activation protein (RhoGAP) with PH domain-containing protein
AT5G19400	AT5G19400.1	SMG7	1	Telomerase activating protein Est1
AT5G19410	AT5G19410.1	ABCG23	NA	ABC-2 type transporter family protein
AT5G19420	AT5G19420.2	""	1	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
AT5G19430	AT5G19430.1	C3HC4	0.003579	RING/U-box superfamily protein
AT5G19440	AT5G19440.1	""	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT5G19450	AT5G19450.1	CDPK19	1	calcium-dependent protein kinase 19
AT5G19460	AT5G19460.1	atnudt20	0.001306	nudix hydrolase homolog 20
AT5G19470	AT5G19470.1	atnudt24	NA	nudix hydrolase homolog 24
AT5G19473	AT5G19473.1	""	NA	RPM1-interacting protein 4 (RIN4) family protein
AT5G19480	AT5G19480.1	""	1	mediator of RNA polymerase II transcription subunit
AT5G19485	AT5G19485.1	""	1	transferases/nucleotidyltransferase
AT5G19490	AT5G19490.1	""	NA	Histone superfamily protein
AT5G19500	AT5G19500.1	""	1	Tryptophan/tyrosine permease
AT5G19510	AT5G19510.1	""	1	Translation elongation factor EF1B/ribosomal protein S6 family protein
AT5G19520	AT5G19520.1	ATMSL9	1	mechanosensitive channel of small conductance-like 9
AT5G19530	AT5G19530.1	ACL5	1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT5G19540	AT5G19540.1	DY1	NA	thermosome subunit gamma
AT5G19550	AT5G19550.1	AAT2	1	aspartate aminotransferase 2
AT5G19560	AT5G19560.1	ATROPGEF10	NA	ROP uanine nucleotide exchange factor 10
AT5G19570	AT5G19570.1	""	NA	transmembrane protein
AT5G19580	AT5G19580.1	""	NA	glyoxal oxidase-related protein
AT5G19590	AT5G19590.1	""	0.019103	DUF538 family protein (Protein of unknown function, DUF538)
AT5G19600	AT5G19600.1	SULTR3;5	NA	sulfate transporter 3
AT5G19610	AT5G19610.1	GNL2	NA	GNOM-like 2
AT5G19620	AT5G19620.1	ATOEP80	0.982153	outer envelope protein of 80 kDa
AT5G19630	AT5G19630.1	""	1	alpha/beta-Hydrolases superfamily protein
AT5G19640	AT5G19640.1	""	NA	Major facilitator superfamily protein
AT5G19650	AT5G19650.1	ATOFP8	NA	ovate family protein 8
AT5G19660	AT5G19660.1	ATS1P	0.819373	SITE-1 protease
AT5G19670	AT5G19670.1	""	1	Exostosin family protein
AT5G19680	AT5G19680.1	""	NA	Leucine-rich repeat (LRR) family protein
AT5G19690	AT5G19690.1	STT3A	1	staurosporin and temperature sensitive 3-like A
AT5G19700	AT5G19700.1	ELS1	NA	MATE efflux family protein
AT5G19710	AT5G19710.1	""	NA	histidine containing phosphotransfer protein
AT5G19720	AT5G19720.1	""	NA	Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain-containing protein
AT5G19730	AT5G19730.1	""	1	Pectin lyase-like superfamily protein
AT5G19740	AT5G19740.1	LAMP1	1	Peptidase M28 family protein
AT5G19750	AT5G19750.1	""	NA	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
AT5G19760	AT5G19760.1	""	1	Mitochondrial substrate carrier family protein
AT5G19770	AT5G19770.1	TUA3	1	tubulin alpha-3
AT5G19780	AT5G19780.1	TUA5	1	tubulin alpha-5
AT5G19790	AT5G19790.1	RAP2.11	NA	related to AP2 11
AT5G19800	AT5G19800.1	AtHRGP2	NA	hydroxyproline-rich glycoprotein family protein
AT5G19810	AT5G19810.1	""	NA	Proline-rich extensin-like family protein
AT5G19820	AT5G19820.1	EMB2734	1	ARM repeat superfamily protein
AT5G19830	AT5G19830.1	""	1	Peptidyl-tRNA hydrolase family protein
AT5G19840	AT5G19840.2	""	1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G19850	AT5G19850.1	""	0.207788	alpha/beta-Hydrolases superfamily protein
AT5G19855	AT5G19855.1	AtRbcX2	1	Chaperonin-like RbcX protein
AT5G19860	AT5G19860.1	""	1	transmembrane protein, putative (Protein of unknown function, DUF538)
AT5G19870	AT5G19870.1	""	NA	transmembrane epididymal protein (DUF716)
AT5G19875	AT5G19875.1	""	NA	transmembrane protein
AT5G19880	AT5G19880.1	""	NA	Peroxidase superfamily protein
AT5G19890	AT5G19890.1	""	NA	Peroxidase superfamily protein
AT5G19900	AT5G19900.1	""	0.953394	PRLI-interacting factor
AT5G19910	AT5G19910.2	MED31	NA	SOH1 family protein
AT5G19920	AT5G19920.1	""	NA	Transducin/WD40 repeat-like superfamily protein
AT5G19930	AT5G19930.1	PGR	1	integral membrane protein (Protein of unknown function DUF92, transmembrane)
AT5G19940	AT5G19940.1	""	7.7e-05	Plastid-lipid associated protein PAP / fibrillin family protein
AT5G19950	AT5G19950.1	""	1	tudor domain protein (DUF1767)
AT5G19960	AT5G19960.1	""	1	RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G19970	AT5G19970.1	""	NA	GRAS family transcription factor family protein
AT5G19980	AT5G19980.1	GFT1	1	golgi nucleotide sugar transporter 4
AT5G19990	AT5G19990.1	ATSUG1	0.14163	regulatory particle triple-A ATPase 6A
AT5G20000	AT5G20000.1	""	NA	AAA-type ATPase family protein
AT5G20010	AT5G20010.1	ATRAN1	0.001201	RAS-related nuclear protein-1
AT5G20020	AT5G20020.1	RAN2	1	RAS-related GTP-binding nuclear protein 2
AT5G20030	AT5G20030.1	""	NA	Plant Tudor-like RNA-binding protein
AT5G20040	AT5G20040.3	ATIPT9	0.806895	isopentenyltransferase 9
AT5G20045	AT5G20045.1	""	NA	transmembrane protein
AT5G20050	AT5G20050.1	""	1	Protein kinase superfamily protein
AT5G20060	AT5G20060.2	""	0.316754	alpha/beta-Hydrolases superfamily protein
AT5G20070	AT5G20070.1	ATNUDT19	1	nudix hydrolase homolog 19
AT5G20080	AT5G20080.1	""	1	FAD/NAD(P)-binding oxidoreductase
AT5G20090	AT5G20090.1	AtMPC1	1	Uncharacterized protein family (UPF0041)
AT5G20100	AT5G20100.1	""	NA	plant/protein
AT5G20110	AT5G20110.1	""	NA	Dynein light chain type 1 family protein
AT5G20120	AT5G20120.1	""	1	testis- and ovary-specific PAZ domain protein
AT5G20130	AT5G20130.1	""	NA	sulfate adenylyltransferase subunit
AT5G20140	AT5G20140.2	AtHBP5	0.000497	SOUL heme-binding family protein
AT5G20150	AT5G20150.1	ATSPX1	1	SPX domain-containing protein 1
AT5G20160	AT5G20160.2	""	NA	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
AT5G20165	AT5G20165.3	""	1	kish-A-like protein
AT5G20170	AT5G20170.1	MED17	1	RNA polymerase II transcription mediator
AT5G20180	AT5G20180.1	""	0.322708	Ribosomal protein L36
AT5G20190	AT5G20190.1	""	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G20200	AT5G20200.1	""	1	nucleoporin-like protein
AT5G20220	AT5G20220.1	""	1	zinc knuckle (CCHC-type) family protein
AT5G20230	AT5G20230.1	ATBCB	NA	blue-copper-binding protein
AT5G20240	AT5G20240.1	PI	NA	K-box region and MADS-box transcription factor family protein
AT5G20250	AT5G20250.4	DIN10	1	Raffinose synthase family protein
AT5G20260	AT5G20260.1	""	NA	Exostosin family protein
AT5G20270	AT5G20270.1	HHP1	NA	heptahelical transmembrane protein1
AT5G20280	AT5G20280.1	ATSPS1F	NA	sucrose phosphate synthase 1F
AT5G20290	AT5G20290.1	""	1	Ribosomal protein S8e family protein
AT5G20300	AT5G20300.1	Toc90	1	Avirulence induced gene (AIG1) family protein
AT5G20310	AT5G20310.1	""	NA	Adenine nucleotide alpha hydrolases-like superfamily protein
AT5G20320	AT5G20320.1	ATDCL4	0.285241	dicer-like 4
AT5G20330	AT5G20330.1	BETAG4	NA	beta-1,3-glucanase 4
AT5G20340	AT5G20340.1	BG5	NA	beta-1,3-glucanase 5
AT5G20350	AT5G20350.1	TIP1	0.08151	Ankyrin repeat family protein with DHHC zinc finger domain-containing protein
AT5G20360	AT5G20360.1	Phox3	NA	Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein
AT5G20370	AT5G20370.1	""	NA	serine-rich protein-like protein
AT5G20380	AT5G20380.1	PHT4;5	0.027191	phosphate transporter 4
AT5G20390	AT5G20390.1	""	NA	Glycosyl hydrolase superfamily protein
AT5G20400	AT5G20400.1	""	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G20410	AT5G20410.1	ATMGD2	NA	monogalactosyldiacylglycerol synthase 2
AT5G20420	AT5G20420.1	CHR42	NA	chromatin remodeling 42
AT5G20430	AT5G20430.1	""	NA	Mob1/phocein family protein
AT5G20440	AT5G20440.1	""	NA	Mob1/phocein family protein
AT5G20447	AT5G20447.1	""	NA	hypothetical protein
AT5G20450	AT5G20450.1	""	1	myosin
AT5G20460	AT5G20460.1	""	NA	hypothetical protein
AT5G20470	AT5G20470.1	HDK	NA	myosin
AT5G20480	AT5G20480.1	EFR	1	EF-TU receptor
AT5G20490	AT5G20490.1	ATXIK	1	myosin family protein with Dil
AT5G20500	AT5G20500.1	""	0.444238	Glutaredoxin family protein
AT5G20510	AT5G20510.1	AL5	0.144053	alfin-like 5
AT5G20520	AT5G20520.1	WAV2	1	alpha/beta-Hydrolases superfamily protein
AT5G20540	AT5G20540.1	ATBRXL4	NA	BREVIS RADIX-like 4
AT5G20550	AT5G20550.1	""	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G20560	AT5G20560.1	""	NA	Glycosyl hydrolase superfamily protein
AT5G20570	AT5G20570.2	ATRBX1	NA	RING-box 1
AT5G20580	AT5G20580.1	""	1	TMEM192 family protein
AT5G20590	AT5G20590.1	TBL5	0.15494	TRICHOME BIREFRINGENCE-LIKE 5
AT5G20600	AT5G20600.1	""	NA	ribosomal RNA processing-like protein
AT5G20610	AT5G20610.1	PMIR1	1	EEIG1/EHBP1 protein amino-terminal domain protein
AT5G20620	AT5G20620.1	UBQ4	1	ubiquitin 4
AT5G20630	AT5G20630.1	ATGER3	NA	germin 3
AT5G20635	AT5G20635.1	AGG3	NA	guanine nucleotide-binding protein subunit gamma
AT5G20640	AT5G20640.1	""	NA	LURP-one-like protein (DUF567)
AT5G20650	AT5G20650.1	AtCOPT5	NA	copper transporter 5
AT5G20660	AT5G20660.1	""	7.7e-05	Zn-dependent exopeptidases superfamily protein
AT5G20670	AT5G20670.1	""	NA	DUF1677 family protein (DUF1677)
AT5G20680	AT5G20680.1	TBL16	1	TRICHOME BIREFRINGENCE-LIKE 16
AT5G20690	AT5G20690.1	PRK6	NA	Leucine-rich repeat protein kinase family protein
AT5G20700	AT5G20700.1	""	1	senescence-associated family protein, putative (DUF581)
AT5G20710	AT5G20710.1	BGAL7	NA	beta-galactosidase 7
AT5G20720	AT5G20720.1	ATCPN21	1	chaperonin 20
AT5G20730	AT5G20730.1	ARF7	1	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
AT5G20740	AT5G20740.1	""	NA	Plant invertase/pectin methylesterase inhibitor superfamily protein
AT5G20790	AT5G20790.1	""	NA	transmembrane protein
AT5G20810	AT5G20810.2	SAUR70	NA	SAUR-like auxin-responsive protein family
AT5G20820	AT5G20820.1	AtSAUR76	NA	SAUR-like auxin-responsive protein family
AT5G20830	AT5G20830.1	ASUS1	1	sucrose synthase 1
AT5G20840	AT5G20840.1	SAC4	0.000197	Phosphoinositide phosphatase family protein
AT5G20850	AT5G20850.1	ATRAD51	NA	RAS associated with diabetes protein 51
AT5G20860	AT5G20860.1	""	NA	Plant invertase/pectin methylesterase inhibitor superfamily
AT5G20870	AT5G20870.1	""	NA	O-Glycosyl hydrolases family 17 protein
AT5G20885	AT5G20885.1	""	NA	RING/U-box superfamily protein
AT5G20890	AT5G20890.1	""	1	TCP-1/cpn60 chaperonin family protein
AT5G20900	AT5G20900.1	JAZ12	1	jasmonate-zim-domain protein 12
AT5G20910	AT5G20910.1	AIP2	NA	RING/U-box superfamily protein
AT5G20920	AT5G20920.1	eIF-2bs	1	eukaryotic translation initiation factor 2 beta subunit
AT5G20930	AT5G20930.1	TSL	0.512102	Protein kinase superfamily protein
AT5G20935	AT5G20935.1	CRR42	NA	DUF3148 family protein
AT5G20940	AT5G20940.1	""	1	Glycosyl hydrolase family protein
AT5G20950	AT5G20950.1	BGLC1	1	Glycosyl hydrolase family protein
AT5G20960	AT5G20960.1	AAO1	1	aldehyde oxidase 1
AT5G20970	AT5G20970.1	""	NA	HSP20-like chaperones superfamily protein
AT5G20980	AT5G20980.1	ATMS3	1	methionine synthase 3
AT5G20990	AT5G20990.1	B73	0.012826	molybdopterin biosynthesis CNX1 protein / molybdenum cofactor biosynthesis enzyme CNX1 (CNX1)
AT5G21010	AT5G21010.1	ATBPM5	NA	BTB-POZ and MATH domain 5
AT5G21020	AT5G21020.2	""	NA	transmembrane protein
AT5G21030	AT5G21030.1	AGO8	NA	PAZ domain-containing protein / piwi domain-containing protein
AT5G21040	AT5G21040.1	FBX2	1	F-box protein 2
AT5G21050	AT5G21050.1	""	NA	hyccin
AT5G21060	AT5G21060.2	""	0.180851	Glyceraldehyde-3-phosphate dehydrogenase-like family protein
AT5G21070	AT5G21070.1	""	0.225813	Fe(3+) dicitrate transport system permease
AT5G21080	AT5G21080.1	""	NA	Uncharacterized protein
AT5G21090	AT5G21090.1	""	0.700475	Leucine-rich repeat (LRR) family protein
AT5G21100	AT5G21100.1	""	0.385447	Plant L-ascorbate oxidase
AT5G21105	AT5G21105.1	""	1	Plant L-ascorbate oxidase
AT5G21120	AT5G21120.1	EIL2	NA	ETHYLENE-INSENSITIVE3-like 2
AT5G21125	AT5G21125.1	""	NA	hypothetical protein
AT5G21130	AT5G21130.1	""	NA	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT5G21140	AT5G21140.1	emb1379	NA	embryo defective 1379
AT5G21150	AT5G21150.1	AGO9	NA	Argonaute family protein
AT5G21160	AT5G21160.3	AtLARP1a	0.140859	LA RNA-binding protein
AT5G21170	AT5G21170.2	AKINBETA1	0.794647	5-AMP-activated protein kinase beta-2 subunit protein
AT5G21222	AT5G21222.1	""	1	protein kinase family protein
AT5G21274	AT5G21274.1	ACAM-6	NA	calmodulin 6
AT5G21280	AT5G21280.1	""	NA	hydroxyproline-rich glycoprotein family protein
AT5G21326	AT5G21326.1	CIPK26	1	Ca2+regulated serine-threonine protein kinase family protein
AT5G21430	AT5G21430.1	CRRL	0.12398	Chaperone DnaJ-domain superfamily protein
AT5G21482	AT5G21482.1	ATCKX5	NA	cytokinin oxidase 7
AT5G21900	AT5G21900.1	""	NA	RNI-like superfamily protein
AT5G21910	AT5G21910.1	""	NA	transmembrane protein
AT5G21920	AT5G21920.1	ATYLMG2	1	YGGT family protein
AT5G21930	AT5G21930.1	ATHMA8	0.102135	P-type ATPase of Arabidopsis 2
AT5G21940	AT5G21940.1	""	NA	hybrid signal transduction histidine kinase M-like protein
AT5G21950	AT5G21950.1	""	NA	alpha/beta-Hydrolases superfamily protein
AT5G21960	AT5G21960.1	""	NA	Integrase-type DNA-binding superfamily protein
AT5G21970	AT5G21970.1	""	1	Ubiquitin carboxyl-terminal hydrolase family protein
AT5G21990	AT5G21990.1	AtTPR7	1	Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G22000	AT5G22000.2	RHF2A	1	RING-H2 group F2A
AT5G22010	AT5G22010.1	AtRFC1	1	replication factor C1
AT5G22020	AT5G22020.1	""	NA	Calcium-dependent phosphotriesterase superfamily protein
AT5G22030	AT5G22030.2	UBP8	0.616026	ubiquitin-specific protease 8
AT5G22040	AT5G22040.1	""	1	ubiquitin carboxyl-terminal hydrolase
AT5G22050	AT5G22050.2	""	1	Protein kinase superfamily protein
AT5G22060	AT5G22060.1	ATJ2	NA	DNAJ homologue 2
AT5G22070	AT5G22070.1	""	NA	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AT5G22080	AT5G22080.1	""	1	Chaperone DnaJ-domain superfamily protein
AT5G22090	AT5G22090.1	EAR1	1	FAF-like protein (DUF3049)
AT5G22100	AT5G22100.1	""	NA	RNA cyclase family protein
AT5G22110	AT5G22110.1	ATDPB2	0.101087	DNA polymerase epsilon subunit B2
AT5G22120	AT5G22120.1	""	1	coiled-coil protein
AT5G22130	AT5G22130.2	PNT1	1	mannosyltransferase family protein
AT5G22140	AT5G22140.1	""	1	FAD/NAD(P)-binding oxidoreductase family protein
AT5G22150	AT5G22150.1	""	NA	transmembrane protein
AT5G22160	AT5G22160.1	""	NA	transmembrane protein
AT5G22170	AT5G22170.1	""	NA	transmembrane protein
AT5G22180	AT5G22180.1	""	NA	hypothetical protein
AT5G22190	AT5G22190.1	""	NA	hypothetical protein
AT5G22200	AT5G22200.1	""	NA	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AT5G22210	AT5G22210.1	""	1	aspartyl/glutamyl-tRNA (Asn/Gln) amidotransferase subunit B
AT5G22220	AT5G22220.2	ATE2FB	NA	E2F transcription factor 1
AT5G22240	AT5G22240.1	ATOFP10	NA	Ovate family protein
AT5G22250	AT5G22250.1	AtCAF1b	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT5G22260	AT5G22260.1	MS1	NA	RING/FYVE/PHD zinc finger superfamily protein
AT5G22270	AT5G22270.1	SIED1	NA	hypothetical protein
AT5G22280	AT5G22280.3	""	NA	peptidyl-prolyl cis-trans isomerase G
AT5G22290	AT5G22290.1	anac089	1	NAC domain containing protein 89
AT5G22300	AT5G22300.1	AtNIT4	0.191287	nitrilase 4
AT5G22310	AT5G22310.1	""	NA	trichohyalin-like protein
AT5G22320	AT5G22320.1	""	1	Leucine-rich repeat (LRR) family protein
AT5G22330	AT5G22330.1	ATTIP49A	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G22340	AT5G22340.2	""	7.7e-05	NF-kappa-B inhibitor-like protein
AT5G22350	AT5G22350.1	ELM1	1	fission ELM1-like protein (DUF1022)
AT5G22355	AT5G22355.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT5G22360	AT5G22360.1	ATVAMP714	NA	vesicle-associated membrane protein 714
AT5G22370	AT5G22370.1	EMB1705	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
